Date and time (UTC),"Rocket, Booster Version",Boosters,Stage 2 Version,Stage 2 Serial Number,Launch site,Time Between Launches,Payload,Payload mass,Orbit,Customer,Launchoutcome,Landing Location,Booster landing / Ship landing,Latitude,Longitude,Support,Tug,Recovered,Fairing Flight Numbers,Fairing Recovery Ships,Fairing Latitude,Fairing Longitude
3/24/06 22:30,F1 v1.0,Unknown,Unknown,Unknown,Omelek Island,N/A,FalconSAT-2,19.5 kg,Low-Earth Orbit,DARPA,Failure,None,Failure (parachute),N/A,N/A,N/A,N/A,N/A,1 / 1,N/A,N/A,N/A
3/21/07 1:10,F1 v1.0,Unknown,Unknown,Unknown,Omelek Island,"361 days, 02 hours, 39 minutes",DemoSat,Unknown,Low-Earth Orbit,DARPA,Failure,None,No Attempt,N/A,N/A,N/A,N/A,N/A,1 / 1,N/A,N/A,N/A
08/03/08 3:34,F1 v1.0,Unknown,Unknown,Unknown,Omelek Island,"501 days, 02 hours, 23 minutes",Trailblazer PRESat NanoSail-D Explorers,4 kg,Low-Earth Orbit,ORS/NASA,Failure,None,Failure (parachute),N/A,N/A,N/A,N/A,N/A,1 / 1,N/A,N/A,N/A
9/28/08 23:15,F1 v1.0,Unknown,Unknown,Unknown,Omelek Island,"56 days, 19 hours, 41 minutes",RatSat,165 kg,Low-Earth Orbit,SpaceX,Success,None,No Attempt,N/A,N/A,N/A,N/A,N/A,1 / 1,N/A,N/A,N/A
7/14/09 3:35,F1 v1.0,Unknown,Unknown,Unknown,Omelek Island,"288 days, 04 hours, 19 minutes",RazakSAT,180 kg,Low-Earth Orbit,ATSB,Success,None,No Attempt,N/A,N/A,N/A,N/A,N/A,1 / 1,N/A,N/A,N/A
6/4/10 18:45,F9 v1.0,B0003-1,Unknown,Unknown,SLC-40,"325 days, 15 hours, 10 minutes",Dragon Spacecraft Qualification Unit,No payload (excl. Dragon Mass),Low-Earth Orbit,SpaceX,Success,None,Failure (parachute),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12/8/10 15:43,F9 v1.0,B0004-1,Unknown,Unknown,SLC-40,"186 days, 20 hours, 58 minutes",SpaceX COTS Demo Flight 1 (Dragon C101),Unknown (excl. Dragon Mass),Low-Earth Orbit,"NASA (COTS), various others",Success,None,Failure (parachute),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5/22/12 7:44,F9 v1.0,B0005-1,Unknown,Unknown,SLC-40,"530 days, 16 hours, 00 minutes",SpaceX COTS Demo Flight 2 (Dragon C102),"525 kg (1,157 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (COTS),Success,None,No Attempt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/8/12 0:35,F9 v1.0,B0006-1,Unknown,Unknown,SLC-40,"138 days, 16 hours, 50 minutes","SpaceX CRS-1 (Dragon C103), Orbcomm-OG2","4,700 kg (10,400 lb) (excl. Dragon mass)",Low-Earth Orbit,"NASA (CRS), Orbcomm",Partial Success,None,No Attempt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/1/13 15:10,F9 v1.0,B0007-1,Unknown,Unknown,SLC-40,"144 days, 14 hours, 35 minutes",SpaceX CRS-2 (Dragon C104),"4,877 kg (10,752 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,None,No Attempt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/29/13 16:00,F9 v1.1 B1,B1003-1,Unknown,Unknown,SLC-4E,"212 days, 00 hours, 49 minutes",CASSIOPE,"500 kg (1,100 lb)",Polar Low-Earth Orbit,MDA,Success,None,Uncontrolled (ocean),N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
12/3/13 22:41,F9 v1.1 B1,B1004-1,Unknown,Unknown,SLC-40,"65 days, 06 hours, 41 minutes",SES-8,"3,170 kg (6,990 lb)",Geostationary Transfer Orbit,SES,Success,None,No Attempt,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
1/6/14 22:06,F9 v1.1 B1,B1005-1,Unknown,Unknown,SLC-40,"33 days, 23 hours, 24 minutes",Thaicom 6,"3,325 kg (7,330 lb)",Geostationary Transfer Orbit,Thaicom,Success,None,No Attempt,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
4/18/14 19:25,F9 v1.1 B1,B1006-1,Unknown,Unknown,SLC-40,"101 days, 21 hours, 19 minutes",SpaceX CRS-3 (Dragon C105),"2,296 kg (5,062 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,None,Controlled (ocean),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/14/14 15:15,F9 v1.1 B1,B1007-1,Unknown,Unknown,SLC-40,"86 days, 19 hours, 49 minutes",Orbcomm-OG2-1(6 satellites),"1,316 kg (2,901 lb)",Low-Earth Orbit,Orbcomm,Success,None,Controlled (ocean),N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
8/5/14 8:00,F9 v1.1 B1,B1008-1,Unknown,Unknown,SLC-40,"21 days, 16 hours, 45 minutes",AsiaSat 8,"4,535 kg (9,998 lb)",Geostationary Transfer Orbit,AsiaSat,Success,None,No Attempt,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
9/7/14 5:00,F9 v1.1 B2,B1011-1,Unknown,Unknown,SLC-40,"32 days, 21 hours, 00 minutes",AsiaSat 6,"4,428 kg (9,762 lb)",Geostationary Transfer Orbit,AsiaSat,Success,None,No Attempt,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
9/21/14 5:52,F9 v1.1 B1,B1010-1,Unknown,Unknown,SLC-40,"14 days, 00 hours, 51 minutes",SpaceX CRS-4 (Dragon C106-1),"2,216 kg (4,885 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,None,Uncontrolled (ocean),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1/10/15 9:47,F9 v1.1 B2,B1012-1,Unknown,Unknown,SLC-40,"111 days, 03 hours, 55 minutes",SpaceX CRS-5 (Dragon C107),"2,395 kg (5,280 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,JRtI,Failure,30.8316667,-78.1080556,GO Quest,Elsbeth III,N/A,N/A,N/A,N/A,N/A
2/11/15 23:03,F9 v1.1 B2,B1013-1,Unknown,Unknown,SLC-40,"32 days, 13 hours, 16 minutes",DSCOVR,"570 kg (1,260 lb)",Sun–Earth L1,"USAF, NASA, NOAA",Success,None,Controlled (ocean),N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
3/2/15 3:50,F9 v1.1 B2,B1014-1,Unknown,Unknown,SLC-40,"18 days, 04 hours, 46 minutes","ABS-3A, Eutelsat 115 West B","4,159 kg (9,169 lb)",Geostationary Transfer Orbit,"ABS, Eutelsat",Success,None,No Attempt,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
4/14/15 20:10,F9 v1.1 B2,B1015-1,Unknown,Unknown,SLC-40,"43 days, 16 hours, 20 minutes",SpaceX CRS-6 (Dragon C108-1),"1,898 kg (4,184 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,JRtI,Failure,30.8316646,-78.1080554,GO Quest,Elsbeth III,N/A,N/A,N/A,N/A,N/A
4/27/15 23:03,F9 v1.1 B2,B1016-1,Unknown,Unknown,SLC-40,"13 days, 02 hours, 52 minutes",TürkmenÄlem 52°E / MonacoSAT,"4,707 kg (10,377 lb)",Geostationary Transfer Orbit,Turkmenistan NationalSpace Agency,Success,None,No Attempt,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
6/28/15 14:21,F9 v1.1 B2,B1018-1,Unknown,Unknown,SLC-40,"61 days, 15 hours, 17 minutes",SpaceX CRS-7 (Dragon C109),"1,952 kg (4,303 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Failure (in flight),OCISLY,Precluded,30.8316646,-78.1080527,GO Quest,Elsbeth III,N/A,N/A,N/A,N/A,N/A
12/22/15 1:29,F9 v1.2 B1,B1019-1,Unknown,Unknown,SLC-40,"176 days, 11 hours, 07 minutes",Orbcomm-OG2-2(11 satellites),"2,034 kg (4,484 lb)",Low-Earth Orbit,Orbcomm,Success,LZ-1,Success,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
1/17/16 18:42,F9 v1.1 B2,B1017-1,Unknown,Unknown,SLC-4E,"26 days, 17 hours, 13 minutes",Jason-3,"553 kg (1,219 lb)",Low-Earth Orbit,"NASA (LSP), NOAA, CNES",Success,JRtI,Failure,32.1288868,-120.7786127,NRC Quest,Int. Freedom,No / No,1 / 1,N/A,N/A,N/A
3/4/16 23:35,F9 v1.2 B1,B1020-1,Unknown,Unknown,SLC-40,"47 days, 04 hours, 53 minutes",SES-9,"5,271 kg (11,621 lb)",Geostationary Transfer Orbit,SES,Success,OCISLY,Failure,28.2722222,-73.8180556,GO Quest,Elsbeth III,No / No,1 / 1,N/A,N/A,N/A
4/8/16 20:43,F9 v1.2 B2,B1021-1,Unknown,Unknown,SLC-40,"34 days, 21 hours, 07 minutes",SpaceX CRS-8 (Dragon C110-1),"3,136 kg (6,914 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,OCISLY,Success,30.5,-78.5,GO Quest,Elsbeth III,N/A,N/A,N/A,N/A,N/A
5/6/16 5:21,F9 v1.2 B2,B1022-1,Unknown,Unknown,SLC-40,"27 days, 08 hours, 38 minutes",JCSAT-14,"4,696 kg (10,353 lb)",Geostationary Transfer Orbit,SKY Perfect JSAT Group,Success,OCISLY,Success,28.19166,-73.83749,GO Quest,Elsbeth III,No / No,1 / 1,N/A,N/A,N/A
5/27/16 21:39,F9 v1.2 B2,B1023-1,Unknown,Unknown,SLC-40,"21 days, 16 hours, 18 minutes",Thaicom 8,"3,100 kg (6,800 lb)",Geostationary Transfer Orbit,Thaicom,Success,OCISLY,Success,28.1147222,-73.6422222,GO Quest,Elsbeth III,No / No,1 / 1,GO Searcher,Unknown,Unknown
6/15/16 14:29,F9 v1.2 B2,B1024-1,Unknown,Unknown,SLC-40,"18 days, 16 hours, 50 minutes",ABS-2A / Eutelsat 117 West B,"3,600 kg (7,900 lb)",Geostationary Transfer Orbit,"ABS, Eutelsat",Success,OCISLY,Failure,28.1147222,-73.6422222,GO Quest,Elsbeth III,No / No,1 / 1,GO Searcher,Unknown,Unknown
7/18/16 4:45,F9 v1.2 B2,B1025-1,Unknown,Unknown,SLC-40,"32 days, 14 hours, 15 minutes",SpaceX CRS-9 (Dragon C111-1),"2,257 kg (4,976 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,LZ-1,Success,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/14/16 5:26,F9 v1.2 B2,B1026-1,Unknown,Unknown,SLC-40,"27 days, 00 hours, 41 minutes",JCSAT-16,"4,600 kg (10,100 lb)",Geostationary Transfer Orbit,SKY Perfect JSAT Group,Success,OCISLY,Success,28.1030556,-74.5666667,GO Quest,Elsbeth III,No / No,1 / 1,GO Searcher,Unknown,Unknown
9/3/2016 7:00:00 (planned),F9 v1.2 B3,B1028-1,Unknown,Unknown,SLC-40,"20 days, 01 hours, 33 minutes (planned)",AMOS-6,"5,500 kg (12,100 lb)",Geostationary Transfer Orbit,Spacecom,Failure (testing),OCISLY,Precluded,28.1477778,-73.83,GO Quest,Elsbeth III,Precluded / Precluded,1 / 1,N/A,N/A,N/A
1/14/17 17:54,F9 v1.2 B3,B1029-1,Unknown,Unknown,SLC-4E,"153 days, 12 hours, 27 minutes",Iridium NEXT-1(10 satellites),"9,600 kg (21,200 lb)",Polar Low-Earth Orbit,Iridium Communications,Success,JRtI,Success,31.2958333,-120.5127778,NRC Quest,Pacific Warrior,No / No,1 / 1,N/A,N/A,N/A
2/19/17 14:39,F9 v1.2 B3,B1031-1,Unknown,Unknown,LC-39A,"35 days, 20 hours, 45 minutes",SpaceX CRS-10 (Dragon C112-1),"2,490 kg (5,490 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,LZ-1,Success,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/16/17 6:00,F9 v1.2 B3,B1030-1,Unknown,Unknown,LC-39A,"24 days, 15 hours, 20 minutes",EchoStar 23,"5,600 kg (12,300 lb)",Geostationary Transfer Orbit,EchoStar,Success,None,No Attempt,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
3/30/17 22:27,F9 v1.2 B2,B1021-2,Unknown,Unknown,LC-39A,"14 days, 16 hours, 27 minutes",SES-10,"5,300 kg (11,700 lb)",Geostationary Transfer Orbit,SES,Success,OCISLY,Success,28.2552778,-74.0216667,GO Quest,Elsbeth III,No / No,1 / 1,GO Searcher,Unknown,Unknown
5/1/17 11:15,F9 v1.2 B3,B1032-1,Unknown,Unknown,LC-39A,"31 days, 12 hours, 47 minutes",NROL-76,Classified,Low-Earth Orbit,NRO,Success,LZ-1,Success,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
5/15/17 23:21,F9 v1.2 B3,B1034-1,Unknown,Unknown,LC-39A,"14 days, 12 hours, 05 minutes",Inmarsat-5 F4,"6,070 kg (13,380 lb)",Geostationary Transfer Orbit,Inmarsat,Success,None,No Attempt,N/A,N/A,N/A,N/A,No / No,1 / 1,N/A,N/A,N/A
6/3/17 21:07,F9 v1.2 B3,B1035-1,Unknown,Unknown,LC-39A,"18 days, 21 hours, 46 minutes",SpaceX CRS-11 (Dragon C106-2),"2,708 kg (5,970 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,LZ-1,Success,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6/23/17 19:10,F9 v1.2 B3,B1029-2,Unknown,Unknown,LC-39A,"19 days, 22 hours, 02 minutes",BulgariaSat-1,"3,669 kg (8,089 lb)",Geostationary Transfer Orbit,Bulsatcom,Success,OCISLY,Success,28.23,-73.6808333,GO Quest,Elsbeth III,No / No,1 / 1,GO Searcher,28.1880,-72.5471
6/25/17 20:25,F9 v1.2 B3,B1036-1,Unknown,Unknown,SLC-4E,"2 days, 01 hours, 15 minutes",Iridium NEXT-2(10 satellites),"9,600 kg (21,200 lb)",Low-Earth Orbit,Iridium Communications,Success,JRtI,Success,31.7522,-119.9613,NRC Quest,Kelly C,No / No,1 / 1,N/A,N/A,N/A
7/5/17 23:38,F9 v1.2 B3,B1037-1,Unknown,Unknown,LC-39A,"10 days, 03 hours, 13 minutes",Intelsat 35e,"6,761 kg (14,905 lb)",Geostationary Transfer Orbit,Intelsat,Success,None,No Attempt,N/A,N/A,N/A,N/A,Unknown / Unknown,1 / 1,GO Searcher,27.8327,-71.4227
8/14/17 16:31,F9 v1.2 B4,B1039-1,Unknown,Unknown,LC-39A,"39 days, 16 hours, 53 minutes",SpaceX CRS-12 (Dragon C113-1),"3,310 kg (7,300 lb) (excl. Dragon mass)",Low-Earth Orbit,NASA (CRS),Success,LZ-1,Success,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
