Key:,"*Note, all dates UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booster lost,No Landing Attempt,Landing Failure,Compleaty Blew Up!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upcoming,Successful Land Landing,Successful ASDS Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core:,Booster Average,Flight -1,First Flight Date,Flight -2,Second Flight Date,Turn Around Time,Flight -3,Third Flight Date,Turn Around Time,Flight -4,Fourth Flight Date,Turn Around Time,Flight -5,Fifth Flight Date,Turn Around Time,Flight -6,Sixth Flight Date,Turn Around Time,Flight -7,Seventh Flight Date,Turn Around Time,Flight -8,Eight Flight Date,Turn Around Time,Flight -9,Ninth Flight Date,Turn Around Time,Flight -10,Tenth Flight date,Turn Around Time,Flight -11,Eleventh Flight Date,Turn Around Time,Flight -12,Twelfth Flight Date,Turn Around Time,Flight -13,Thirteenth Flight Date,Turn Around Time,Flight -14,Fourteenth Flight Date,Turn Around Time,Flight -15,Fifteenth Flight Date,Turn Around Time,Flight -16,Sixteenth Flight Date,Turn Around Time,Flight -17,Seventeenth Flight Date,Turn Around Time,Flight -18,Eighteenth Flight Date,Turn Around Time,Flight -19,Nineteenth Flight Date,Turn Around Time
B1046,205.93,Bangabandhu-1,5/11/18 20:14,Merah Putih,8/7/18 5:18,87.38,SSO-A,12/3/18 18:34,118.55,Crew Dragon IFA,1/19/20 15:30,411.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1047,190.37,Telstar19V,7/22/18 5:50,Es'hail 2,11/15/18 20:46,116.62,AMOS-17,8/6/19 23:23,264.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1048,150.51,Iridium NEXT-7,7/25/18 11:39,SAOCOM-1A,10/8/18 2:21,74.61,Nusantara Satu/Beresheet,2/22/19 1:45,136.97,Starlink L1,11/11/19 14:56,262.55,Starlink L5,03/18/20 12:16,127.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1049,153.49,Telstar 18V/Apstar-5C,9/10/18 4:45,Iridium NEXT-8,1/11/19 15:31,123.45,Starlink v0.9,5/24/19 2:30,132.46,Starlink L2,01/07/20 2:19,227.99,Starlink L7,6/4/20 1:25,148.96,Starlink L10,8/18/20 14:31,75.55,Starlink L15,11/25/20 2:13,98.49,Starlink L17,3/4/21 8:24,99.26,Starlink L25,5/4/21 19:01,61.44,Starlink Group 2-1,9/14/21 3:55,132.37,Eutelsat 10B,11/23/22 2:57,434.96,,,,,,,,,,,,,,,,,,,,,,,,
B1050,#DIV/0!,CRS-16,12/5/18 18:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1051,103.95,SpX-DM1,3/2/19 7:49,RADARSAT,6/12/19 14:17,102.27,Starlink L3,1/29/20 14:06,230.99,Starlink L6,4/22/20 19:30,84.22,Starlink L9,08/07/20 5:12,106.40,Starlink L13,10/18/20 12:25,72.30,SXM-7,12/13/20 17:30,56.21,Starlink L16,1/20/21 13:02,37.81,Starlink L21,3/14/21 10:01,52.87,Starlink L27,5/9/21 6:42,55.86,Starlink Group 4-4,12/18/21 12:41,223.25,Starlink Group 4-12,3/19/22 4:42,90.67,Starlink Group 4-22,7/17/22 14:20,120.40,Galaxy 31 & 32,11/12/22 16:06,118.07,,,,,,,,,,,,,,,
B1052,211.44,Arabsat-6A MY,4/11/19 22:35,STP-2 MY,6/25/19 6:30,74.33,CSG-2,1/31/22 23:11,951.70,Starlink Group 4-10,3/9/22 13:45,36.61,Starlink Group 4-18,5/18/22 10:59,69.88,KPLO,8/4/22 23:08,78.51,Starlink Group 4-20 & Varuna,9/5/22 2:09,31.13,ViaSat-3 MY,5/1/2023 0:26:00,237.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1053,740.04,Arabsat-6A PY,4/11/19 22:35,STP-2 PY,6/25/19 6:30,74.33,ViaSat-3 PY,5/1/2023 0:26:00,1405.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1054,#DIV/0!,GPS III SV01,12/23/18 13:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1055,#DIV/0!,Arabsat-6A,4/11/19 22:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1056,96.45,CRS-17,5/4/19 6:48,CRS-18,7/25/19 22:01,82.63,JCSat-18,12/17/19 0:10,144.09,Starlink L4,2/17/20 15:05,62.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1057,#DIV/0!,STP-2 Center,6/25/19 6:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1058,72.28,SpX-DM2,5/30/20 19:22,ANASIS-II,7/20/20 21:30,51.09,Starlink L12,10/6/20 11:29,77.58,CRS-21,12/6/20 16:17,61.20,Transporter-1,1/24/21 15:00,48.95,Starlink L20,3/11/21 8:13,45.72,Starlink L23,4/7/21 16:34,27.35,Starlink L26,5/15/21 22:56,38.27,Starlink Group 4-1,11/13/21 12:19,181.56,Transporter-3,01/13/2022 15:25:39,61.13,Starlink Group 4-8,2/21/22 14:44,38.97,Starlink Group 4-17,5/6/22 9:42,73.79,Starlink Group 4-21,7/7/22 13:11,62.15,Starlink Group 4-2 & BlueWalker 3,9/11/22 1:20,65.51,Starlink Group 4-37,12/17/2022 21:32,97.84,Starlink Group 6-5,7/10/2023 3:58,204.27,Starlink Group 6-17,9/20/23 3:38,71.99,Starlink Group 6-26,11/04/23 0:37,44.87,Starlink Group 6-32,12/23/2023 5:33:00,49.21
B1059,87.69,CRS-19,12/5/19 17:29,CRS-20,3/7/20 4:50,92.47,Starlink L8,6/13/20 9:21,98.19,SAOCOM-1B,08/30/20 23:18,78.58,NROL-108,12/19/20 14:00,110.61,Starlink L19,2/16/21 3:59,58.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1060,75.38,GPS III SV03,6/30/20 20:10,Starlink L11,9/3/20 12:46,64.69,Starlink L14,10/24/20 15:31,51.11,Turksat-5A,1/8/21 2:15,75.45,Starlink L18,2/4/21 6:19,27.17,Starlink L22,3/24/21 8:28,48.09,Starlink 24,4/29/21 3:44,35.80,Transporter-2,6/30/21 19:31,62.66,Starlink Group 4-3,12/2/2021 23:12,155.15,Starlink Group 4-6,1/19/2022 2:02,47.12,Starlink Group 4-9,3/3/22 14:35,43.52,Starlink Group 4-14,4/21/22 17:51,49.14,Starlink Group 4-19,6/17/22 16:09,56.93,Galaxy 33 & 34,10/8/22 23:05,113.29,Transporter-6,01/03/2023 14:55:56,86.66,Starlink Group 5-15,7/16/2023 3:50,193.54,Starlink Group 6-18,9/24/23 3:38,69.99,Nova C (IM-1),2/15/2024 6:05:00,144.10,Starlink Group 6-42,03/24/24 3:09,37.88
B1061,65.03,Crew-1,11/16/20 0:27,Crew-2,4/23/21 9:49,158.39,SXM-8,6/6/21 4:26,43.78,CRS-23,8/29/21 7:14,84.12,IXPE,12/9/2021 6:00:00,101.95,Starlink Group 4-7,2/3/2022 18:13,56.51,Transporter-4,4/1/22 16:24,56.92,Transporter-5,5/25/22 18:35,54.09,Globalstar FM15,6/19/22 4:27,24.41,Starlink Group 3-3,8/12/22 21:40,54.72,EROS-C3,12/30/2022 7:38,139.42,Starlink Group 2-7,3/3/23 18:38,63.46,Starlink Group 3-5,4/27/23 13:40,54.79,Starlink Group 2-10,5/31/23 6:02,33.68,Starlink Group 7-1,8/22/23 9:37,83.15,Starlink Group 7-5,10/21/2023 8:23:00,59.95,425 Project Flight 1 and others,12/01/23 18:19,41.41,Starlink Group 7-10,01/14/24 8:59,43.61,Starlink Group 7-15,2/23/2024 4:11:50,39.80
B1062,66.69,GPS III SV04,11/5/20 23:24,GPS III SV05,6/17/2021 16:09,223.70,Inspiration-4,9/16/21 0:02:56,90.33,Starlink Group 4-5,1/6/22 21:49:10,112.91,AX-1,4/8/22 15:17,91.73,Starlink Group 4-16,4/29/22 21:27,21.26,Nilesat-301,6/8/22 21:04,39.98,Starlink Group 4-25,7/24/22 13:38,45.69,Starlink Group 4-27,8/19/22 19:21,26.24,Starlink Group 4-36,10/20/22 14:50,61.81,Starlink Group 5-1,12/28/2022 9:34,68.78,Starlink Group 5-4,2/12/23 5:10,45.82,OneWeb 17,3/9/2023 19:13,25.59,Arabsat 7B,5/27/23 4:30,78.39,Starlink Group 6-7,7/28/2023 4:01,61.98,Starlink Group 6-23,10/18/23 0:39,81.86,Starlink Group 6-30,11/28/23 4:20,41.15,Starlink Group 6-38,01/29/24 1:10,61.87,Starlink Group 6-44,03/16/24 0:21,46.97
